,,,Dollars,Dollars,90th,90th
,,,sum,count,sum,count
Philip Van Cortlandt,NY,yes,850.0,1,0,0
Reynolds Joseph,RI,no,254.0,3,57.0,2
Richard Lewis,NC,yes,230.0,3,75.0,2
Richard Manning,MA,yes,20.0,1,0,0
Richard Potts,MD,yes,59.0,1,68.0,1
Richard Smith,DE,yes,684.0,2,62,1
Richard Thomas,MD,yes,56.0,2,115.0,2
Robert Alexander,VA,no,61.0,1,18,1
Robert Andrews,VA,yes,28.0,1,0,0
Robert Montgomery,NC,yes,27.0,1,66.0,1
Robert Morris,Constitution,yes,1051.0,6,217.0,6
Robert Ogden,NJ,yes,42.0,2,60.0,1
Robert Whitehill,PA,no,5.0,1,0,0
Robert Williams,VA,no,93.0,4,135.0,3
Robert Wilson,MA,no,0.0,0,0,0
Samuel Adams,MA,yes,33.0,1,30.0,1
Samuel Baker,MA,yes,608.0,7,137.0,3
Samuel Canfield,CT,yes,13.0,1,68.0,1
Samuel Davenport,CT,no,10.0,1,30.0,1
Samuel Evans,MD,yes,174.0,3,79.0,2
Samuel H. Parsons,CT,yes,25.0,1,0,0
Samuel Huntington,CT,yes,33.0,3,0,0
Samuel Johnston,NC,yes,379.0,3,101.0,2
Samuel Jones,NY,yes,73.0,3,66.0,3
Samuel Reed,MA,no,9.0,1,86.0,1
Samuel Simpson,NC,yes,214.0,2,77.0,2
Samuel Smith,SC,yes,669.0,15,408.0,11
Samuel Taylor,SC,yes,6.0,2,22.0,1
Samuel Warren,SC,yes,305.0,3,89.0,3
Samuel Watson,SC,no,22.0,1,0,0
Samuel Young,NH,yes,822.0,5,255.0,5
Sands Ray,RI,did not vote,56.0,1,17.0,1
Sears George,RI,yes,63.0,4,193.0,4
Seth Crocker,CT,yes,7.0,1,45.0,1
Seth Newton,MA,yes,10.0,1,0,0
Simeon Smith,CT,yes,524.0,2,39.0,1
Slocum Giles,RI,no,5.0,1,64.0,1
Solomon Maxwell,DE,yes,1121.0,7,140.0,4
Stephen Smith,SC,yes,2045.0,2,54.0,2
Thomas Allen,VA,no,4.0,3,71.0,3
Thomas Anderson,NJ,yes,402.0,6,380.0,6
Thomas Brown,NC,no,1206.0,14,279.0,7
Thomas Chase,NH,no,1440.0,1,0,0
Thomas Cooper,VA,no,8.0,2,120.0,2
Thomas Davis,MA,yes,120.0,2,65.0,2
Thomas Evans,DE,yes,140.0,3,121.0,3
Thomas Johnson,MD,yes,178.0,1,22,1
Thomas Johnston,NC,yes,237.0,4,158.0,3
Thomas Jones,MA,yes,687.0,19,601.0,15
Thomas Lewis,VA,yes,15.0,3,11,1
Thomas Owen,NC,yes,8.0,1,35.0,1
Thomas Read,VA,no,69.0,2,45.0,1
Thomas Reynolds,NJ,yes,133.0,2,93.0,2
Thomas Russel,MA,yes,80.0,4,104.0,3
Thomas Scott,PA,yes,2633.0,9,236.0,6
Thomas Smith,VA,yes,1134.0,11,163.0,6
Thomas Stewart,NC,yes,203.0,1,26.0,1
Thomas Taylor,SC,no,29.0,3,60.0,1
Thomas Williams,NC,no,1625.0,5,224.0,5
Thomas Yardley,PA,yes,21.0,2,56.0,1
