,Full Name,state,Total
569,Ezekiel Carpenter,RI,4.72
570,Ezekiel Cowles,CT,26.01
571,Ezekiel John Dorsey,MD,540.0
572,Ezekiel Whipple,RI,124.74
573,Ezra Dean,RI,551.96
574,F C H B Poellnitz,SC,6595.59
575,Fairfield 1st Society School,CT,155.49
576,Felix Warley,SC,4645.89
577,Florian Charles Mey,SC,580.92
578,Floride Peyre,SC,94.56
579,Fontaine Maury,VA,447.5
580,Forman Mount,PA,982.7
581,Foster Maynard,MD,72.22
582,Francis Baird,PA,173.91
583,Francis Bussier,NC,133.11
584,Francis C Dyer,MD,332.5
585,Francis Charlton,MD,20468.86
586,Francis Clifton,PA,792.5
587,Francis Hiam,PA,503.1
588,Francis Hite,VA,1110.25
589,Francis Ingraham,PA,12552.6
590,Francis Maiziere,SC,75.0
591,Francis Peyton,VA,334.72
592,Francis Riddlehurst,VA,525.11
593,Frantz Jacob Foltz,SC,1656.07
594,Franz Jacob Follz,GA,38.149
595,Frederick Grammar,MD,7013.19
596,Frederick Green,MD,79.96
597,Frederick Kohne,SC,411.43
598,Freeborn Brown,MD,1847.51
599,Freeman Ward,VA,161.89
600,French Strother,VA,191.5
601,Gabriel Duvall,MD,36.92
602,Gabriel Maupin,VA,117.0
603,Gardner William Mumford,RI,600.13
604,Garret T Fisher,NY,185.21
605,Garrett Cottringer,PA,553.33
606,Garrett Minor,VA,28.56
607,Garrit Lansing,NY,4189.11
608,Geo Gibbs,RI,2120.15
609,George Bare,MD,9.32
610,George Bickham,PA,10977.82
611,George Browning,PA,1657.18
612,George Buchanan,MD,3600.0
613,George Buckner,VA,185.5
614,George Budd,PA,137.5
615,George Campbell,SC,25.01
616,George Chandler,VA,1303.27
617,George Daig,NH,72.92
618,George Dodge,NH,228.98
619,George Eddy,PA,44452.92
620,George Fardo,SC,1088.09
621,George Forepaugh,PA,17.6
622,George French,VA,13469.25
623,George Gale,MD,160.0
624,George George,PA,1242.07
625,George Gilmer,VA,3605.87
626,George Grimes,VA,234.16
627,George Habaker,PA,1678.55
628,George Hahnbaum,SC,3162.89
629,George Hazard,RI,2245.21
630,George Heriot,GA,5664.6242
631,George Idol,PA,93.77
