,Full Name,state,Total
394,George Buchanan,MD,3600.0
395,George Daig,NH,72.92
396,George Dodge,NH,228.98
397,George Eddy,PA,44452.92
398,George Fardo,SC,1088.09
399,George Forepaugh,PA,17.6
400,George Gale,MD,160.0
401,George George,PA,1242.07
402,George Habaker,PA,1678.55
403,George Hahnbaum,SC,528.85
404,George Hazard,RI,2245.21
405,George Heriot,SC,2780.59
406,George Idol,NC,93.77
407,George L Lyler,PA,30.4
408,George Leib,PA,808.38
409,George Ludlam,PA,613.33
410,George Pickett,VA,698.61
411,George Raymond,CT,55.11
412,George Simmerman,MD,39.6
413,George Stout,PA,1461.72
414,George Von Hud,PA,242.37
415,George Whitefield,SC,31.118266
416,George Wilbur,RI,121.2
417,George Yoast,MD,39.34
418,Gideon Freeborn,RI,81.48
419,Glen Drayton,SC,69.03
420,Godfreid Swartz,PA,83.82
421,Gould Marsh,RI,12.5
422,Grindall Reynolds,RI,129.06
423,Gurdon Sattonstall,CT,669.02
424,Gustavus Colhoun,SC,4159.1
425,Guy Richards,CT,2409.56
426,Hanah Courtney,PA,120.66
427,Hanah Talbert,PA,1066.83
428,Hannah Benton,CT,164.09
429,Hannah Cooke,CT,142.0
430,Hannah Dummer,MA,138.32
431,Hannah Hodge,PA,600.0
432,Hannah Howley,CT,800.0
433,Hannah Huntington,CT,765.55
434,Hannah Painter,CT,120.0
435,Hardy Murfree,NC,2176.66
436,Hary Grant,SC,425.0
437,Henrietta James,MD,1575.41
438,Henry Bailey,SC,49.99
439,Henry Bass,MA,362.03
440,Henry Brotbeck,MD,33.33
441,Henry Channing,CT,4929.91
442,Henry Collins Flagg,SC,2528.77
443,Henry Downes,MD,189.56
444,Henry Gardner,RI,22.81
445,Henry Huntington,CT,177.27
446,Henry Jenks,RI,304.71
447,Henry Jennings,BVI,188.18
448,Henry Marchant,RI,47.38
449,Henry Piercy,NJ,1774.71
450,Henry Rice,RI,4545.28
451,Henry Rung,PA,564.36
452,Henry Sherburne,RI,299611.0
453,Henry Tubman,MD,1103.18
454,Henry Tucker,BM,960.06
455,Hezekiah Bellows,RI,9.8
456,Hezekiah Edgerton,CT,25.26
457,Hezekiah Niles,DE,414.77
458,Hezekiah Wyllys,CT,344.74
459,Hieronimus Geyer,PA,35.47
460,Hon Daniel,MD,226.56
461,Hon William,PA,481.9
462,Hope Warner,CT,300.0
463,Hopson Pinckney,VI,44.22
464,Horace Johnson,SC,3681.2
465,Howard Moulton,CT,433.46
